doi_type,doi,title,citation_count
biorxiv_doi,10.1101/2023.04.24.538074,Disrupting microglial TGF-Î² signaling triggers region-specific pathology in the spinal cord,2
published_doi,10.1038/s41593-025-02161-4,Disrupting microglial TGF-Î² signaling triggers region-specific pathology in the spinal cord,0
biorxiv_doi,10.1101/2025.06.04.657787,"Comparing electromyography, accelerometry, and visual inspection to assess the resting motor threshold for transcranial magnetic stimulation",0
published_doi,10.24072/pcjournal.659,"Comparing electromyography, accelerometry, and visual inspection to assess the resting motor threshold for transcranial magnetic stimulation",
biorxiv_doi,10.1101/2025.04.18.649492,A citrullination-ubiquitination pathway controls pre-meiotic H1 eviction and is essential for gametogenesis in Arabidopsis,0
published_doi,10.1038/s44318-025-00671-2,A citrullination-ubiquitination pathway controls pre-meiotic H1 eviction and is essential for gametogenesis in Arabidopsis,0
biorxiv_doi,10.1101/2025.02.06.636927,Strategies for Mitigating Radiation Damage and Improving Data Completeness in 3D Electron Diffraction of Protein Crystals,1
published_doi,10.1107/S2059798325011258,Strategies for Mitigating Radiation Damage and Improving Data Completeness in 3D Electron Diffraction of Protein Crystals,1
biorxiv_doi,10.1101/2025.05.03.652001,Computational design of conformation-biasing mutations to alter protein functions,7
published_doi,10.1126/science.adv7953,Computational design of conformation-biasing mutations to alter protein functions,
biorxiv_doi,10.1101/2023.07.25.550495,Generative Neural Spike Prediction from Upstream Neural Activity via Behavioral Reinforcement,5
published_doi,10.1038/s43588-025-00915-5,Generative Neural Spike Prediction from Upstream Neural Activity via Behavioral Reinforcement,0
biorxiv_doi,10.1101/2024.04.30.591897,ESCRT recruitment to damaged lysosomes is dependent on the ATG8 E3-like ligases,9
published_doi,10.1038/s44318-025-00672-1,ESCRT recruitment to damaged lysosomes is dependent on the ATG8 E3-like ligases,2
biorxiv_doi,10.1101/2024.09.25.615081,The Senescence-Associated-Secretory Phenotype constituting HIF-1Î± activation is independent of micronuclei induction and associated cGAS-mediated interferon response,4
published_doi,10.1091/mbc.E24-10-0445,The Senescence-Associated-Secretory Phenotype constituting HIF-1Î± activation is independent of micronuclei induction and associated cGAS-mediated interferon response,
biorxiv_doi,10.1101/2025.01.17.633378,The Impact of a Western Diet High in Phosphate on the CKD-MBD in an Alport Syndrome Model,2
published_doi,10.34067/KID.0000001065,The Impact of a Western Diet High in Phosphate on the CKD-MBD in an Alport Syndrome Model,0
biorxiv_doi,10.1101/2024.05.31.596825,Integrating Data Across Oscillatory Power Bands Predicts the Epileptogenic Zone: the Frequency Range Explorer Epileptogenic Zone (FREEZ) Identification Algorithm,
published_doi,10.1093/braincomms/fcag008,Integrating Data Across Oscillatory Power Bands Predicts the Epileptogenic Zone: the Frequency Range Explorer Epileptogenic Zone (FREEZ) Identification Algorithm,0
biorxiv_doi,10.1101/2024.12.04.626811,Gut MicrobiotAware: how much do we know about gut microbiota? An international questionnaire.,0
published_doi,10.3389/fmicb.2025.1643257,Gut MicrobiotAware: how much do we know about gut microbiota? An international questionnaire.,0
biorxiv_doi,10.1101/2024.06.03.597118,Comparative neuroimaging of the carnivoran brain: Neocortical sulcal anatomy,3
published_doi,10.7554/eLife.100851.3,Comparative neuroimaging of the carnivoran brain: Neocortical sulcal anatomy,
biorxiv_doi,10.1101/2025.02.02.636143,Evaluating Flow-Focused Microfluidic Device Fabrication Techniques for Silk Fibroin Microgel Production,0
published_doi,10.1002/admt.202501402,Evaluating Flow-Focused Microfluidic Device Fabrication Techniques for Silk Fibroin Microgel Production,0
biorxiv_doi,10.1101/2025.02.24.639877,Single-nucleus multiomics of murine gonadal cells reveals transcriptional regulatory network underlying supporting lineage differentiation,3
published_doi,10.1126/sciadv.aea7403,Single-nucleus multiomics of murine gonadal cells reveals transcriptional regulatory network underlying supporting lineage differentiation,3
biorxiv_doi,10.1101/2025.03.13.643146,Revealing a coherent cell state landscape across single cell datasets with CONCORD,3
published_doi,10.1038/s41587-025-02950-z,Revealing a coherent cell state landscape across single cell datasets with CONCORD,1
biorxiv_doi,10.1101/2025.05.23.655721,Socio-emotional difficulties observed in alexithymia reflect altered interactions of the semantic and monoaminergic neuromodulatory brain networks,
published_doi,10.1111/psyp.70223,Socio-emotional difficulties observed in alexithymia reflect altered interactions of the semantic and monoaminergic neuromodulatory brain networks,2
biorxiv_doi,10.1101/2025.03.01.641000,Evaluation of deep learning approaches for high-resolution chromatin accessibility prediction from genomic sequence,0
published_doi,10.1101/gr.281042.125,Evaluation of deep learning approaches for high-resolution chromatin accessibility prediction from genomic sequence,
biorxiv_doi,10.1101/2025.08.30.673206,ESPERDYNE: A Dual-Band Heterodyne Monitor and Ultrasound Recorder for Bioacoustic Field Surveys,3
published_doi,10.1111/2041-210x.70241,ESPERDYNE: A Dual-Band Heterodyne Monitor and Ultrasound Recorder for Bioacoustic Field Surveys,
biorxiv_doi,10.1101/2025.11.18.689077,"The electrophilic metabolite of kynurenine, kynurenine-CKA, targets C151 in Keap1 to derepress Nrf2.",0
published_doi,10.1016/j.redox.2026.104009,"The electrophilic metabolite of kynurenine, kynurenine-CKA, targets C151 in Keap1 to derepress Nrf2.",2
biorxiv_doi,10.1101/2025.02.03.636134,Geometry-driven asymmetric cell divisions pattern cell cycles and zygotic genome activation in the zebrafish embryo,
published_doi,10.1038/s41567-025-03122-1,Geometry-driven asymmetric cell divisions pattern cell cycles and zygotic genome activation in the zebrafish embryo,6
biorxiv_doi,10.1101/2025.05.30.657108,PyamilySeq: Exposing the fragility of conventional gene (re)clustering and pangenomic inference methods,
published_doi,10.1093/nargab/lqaf198,PyamilySeq: Exposing the fragility of conventional gene (re)clustering and pangenomic inference methods,1
biorxiv_doi,10.1101/2025.10.09.680873,Effects of incrementally increased plant-based protein intake on gut microbiota and inflammatory-metabolic biomarkers in healthy adults,1
published_doi,10.1039/D5FO02653A,Effects of incrementally increased plant-based protein intake on gut microbiota and inflammatory-metabolic biomarkers in healthy adults,
biorxiv_doi,10.1101/2025.07.07.663434,Influence of Disease-Causing Mutations and Ivacaftor on the Dynamics of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Protein,0
published_doi,10.1142/S2737416526400077,Influence of Disease-Causing Mutations and Ivacaftor on the Dynamics of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Protein,
biorxiv_doi,10.1101/2023.09.27.556556,Engineered retrons generate genome-independent protein-binding DNA for cellular control,7
published_doi,10.1038/s41557-025-02049-7,Engineered retrons generate genome-independent protein-binding DNA for cellular control,1
biorxiv_doi,10.1101/2025.04.29.651153,NNMT is a biomarker of prostate cancer cells with a mesenchymal phenotype and induces sensitivity to metabolic agents,0
published_doi,10.7150/ijbs.120532,NNMT is a biomarker of prostate cancer cells with a mesenchymal phenotype and induces sensitivity to metabolic agents,0
biorxiv_doi,10.1101/2025.02.26.640381,Spatially resolved integrative analysis of transcriptomic and metabolomic changes in tissue injury studies,3
published_doi,10.1038/s41467-025-68003-w,Spatially resolved integrative analysis of transcriptomic and metabolomic changes in tissue injury studies,0
biorxiv_doi,10.1101/2025.06.12.658904,Ablation of Prdm16 and beige fat causes vascular remodeling and elevated blood pressure,0
published_doi,10.1126/science.ady8644,Ablation of Prdm16 and beige fat causes vascular remodeling and elevated blood pressure,5
biorxiv_doi,10.1101/2025.05.09.652687,Nonsense-mediated decay controls a negative feedback loop in innate immune sensing,1
published_doi,10.1073/pnas.2517478123,Nonsense-mediated decay controls a negative feedback loop in innate immune sensing,0
biorxiv_doi,10.1101/2025.02.27.640633,Keratin 15 promotes a progenitor cell statein basal keratinocytes of skin epidermis,1
published_doi,10.1083/jcb.202503046,Keratin 15 promotes a progenitor cell statein basal keratinocytes of skin epidermis,0
biorxiv_doi,10.1101/2025.10.27.684615,Morphogenesis of the diamond-type stereom microlattice and the origin of saddle-shaped minimal surfaces in the echinoderm skeleton,0
published_doi,10.1016/j.actbio.2026.01.016,Morphogenesis of the diamond-type stereom microlattice and the origin of saddle-shaped minimal surfaces in the echinoderm skeleton,
biorxiv_doi,10.1101/2024.10.11.617736,Multimodal integration of single cell ATAC-seq data enables highly accurate delineation of clinically relevant tumor cell subpopulations,1
published_doi,10.1186/s13073-026-01599-w,Multimodal integration of single cell ATAC-seq data enables highly accurate delineation of clinically relevant tumor cell subpopulations,1
biorxiv_doi,10.1101/2025.10.06.680657,Vimentin networks at high strains,0
published_doi,10.1103/b6kp-858m,Vimentin networks at high strains,0
biorxiv_doi,10.1101/2025.06.09.658280,Volumetric single-molecule tracking inside subcellular structures,1
published_doi,10.1002/smll.202509162,Volumetric single-molecule tracking inside subcellular structures,
biorxiv_doi,10.1101/2025.04.03.645855,Morphogen-driven melanin pathway dynamics regulated by 	Wnt1 and	apontic-like underlie larval spot coloration in Bombyx mori,0
published_doi,10.1016/j.ibmb.2026.104497,Morphogen-driven melanin pathway dynamics regulated by 	Wnt1 and	apontic-like underlie larval spot coloration in Bombyx mori,
biorxiv_doi,10.1101/2023.10.29.564555,Co-regulator activity of Mediator of DNA Damage Checkpoint 1 (MDC1) is associated with DNA repair dysfunction and PARP inhibitor sensitivity in lobular carcinoma of the breast,5
published_doi,10.1158/0008-5472.CAN-25-1217,Co-regulator activity of Mediator of DNA Damage Checkpoint 1 (MDC1) is associated with DNA repair dysfunction and PARP inhibitor sensitivity in lobular carcinoma of the breast,1
biorxiv_doi,10.1101/2024.06.07.597917,p53 enables phospholipid headgroup scavenging,0
published_doi,10.1038/s41556-025-01853-0,p53 enables phospholipid headgroup scavenging,2
biorxiv_doi,10.1101/2025.04.29.650608,Inflammasome Activation in Cutaneous Squamous Cell Carcinoma,0
published_doi,10.1091/mbc.E25-04-0181,Inflammasome Activation in Cutaneous Squamous Cell Carcinoma,0
biorxiv_doi,10.1101/2025.07.29.667383,Click. Screen. Degrade. A Miniaturized D2B Workflow for rapid PROTAC Discovery,1
published_doi,10.1021/acs.jmedchem.5c02543,Click. Screen. Degrade. A Miniaturized D2B Workflow for rapid PROTAC Discovery,
biorxiv_doi,10.1101/2022.06.06.495023,Sound Frequency Predicts the Bodily Location of Auditory-Induced Tactile Sensations in Synesthetic and Ordinary Perception,
published_doi,10.1093/nc/niaf064,Sound Frequency Predicts the Bodily Location of Auditory-Induced Tactile Sensations in Synesthetic and Ordinary Perception,1
biorxiv_doi,10.1101/2022.11.20.517270,Systematic Approach Identifies Multiple Transcription Factor Perturbations That Rejuvenate Replicatively Aged Human Skin Fibroblasts,5
published_doi,10.1073/pnas.2515183123,Systematic Approach Identifies Multiple Transcription Factor Perturbations That Rejuvenate Replicatively Aged Human Skin Fibroblasts,1
biorxiv_doi,10.1101/2025.08.11.669771,"Daclatasvir, a symmetric drug for an anti-symmetric target",0
published_doi,10.29356/jmcs.v70i1.2393,"Daclatasvir, a symmetric drug for an anti-symmetric target",
biorxiv_doi,10.1101/2025.04.15.648987,"Accelerated, Accurate, Hybrid Short and Long Reads Alignment and Variant Calling",0
published_doi,10.3389/fbinf.2025.1691056,"Accelerated, Accurate, Hybrid Short and Long Reads Alignment and Variant Calling",0
biorxiv_doi,10.1101/2024.05.12.593008,"Migration, proliferation, and elasticity of bladder cancer cells on lectin-coated surfaces",2
published_doi,10.1016/j.bios.2026.118410,"Migration, proliferation, and elasticity of bladder cancer cells on lectin-coated surfaces",1
biorxiv_doi,10.64898/2026.01.10.698837,Differentiating Causes of Post-Surgical Conductive Hearing Loss with Optical Coherence Tomography Vibrometry,0
published_doi,10.1007/s10162-025-01027-7,Differentiating Causes of Post-Surgical Conductive Hearing Loss with Optical Coherence Tomography Vibrometry,
biorxiv_doi,10.1101/2025.05.28.656585,Rab2 and Arl8/BORC control retrograde axonal transport of dense core vesicles via Syd/dJIP3/4 and RUFY dynein adaptors,0
published_doi,10.1083/jcb.202507071,Rab2 and Arl8/BORC control retrograde axonal transport of dense core vesicles via Syd/dJIP3/4 and RUFY dynein adaptors,0
