biorxiv_doi,published_doi,title,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,uses_contractions,uses_exclamation_marks,uses_signposting_phrases,uses_vague_verbs,num_vague_verbs
10.1101/2022.03.14.484320,10.1128/spectrum.01372-25,ANTARCTIC FUNGI: A BIO-SOURCE ALTERNATIVE TO PRODUCE POLYUNSATURATED FATTY ACIDS (PUFAs),49.23367389330585,10.472274438065273,13.541184778466585,False,False,False,True,8
10.1101/2022.03.28.486070,10.1038/s41477-025-02161-z,A novel cis-element enabled bacterial uptake by plant cells,47.368625249577065,11.101583506994533,14.639440380680055,False,False,False,True,24
10.1101/2022.05.01.490196,10.1073/pnas.2500723123,Elevator mechanism dynamics in a sodium-coupled dicarboxylate transporter,41.63775326429479,11.328918489863344,14.4034277184732,False,True,True,True,27
10.1101/2022.05.19.492257,10.1038/s42003-025-09435-4,Held out wings RNA binding activity in the cytoplasm during early spermatogenesis,53.92528178603783,9.8503328625373,12.626788878823595,False,False,False,True,4
10.1101/2022.06.06.495023,10.1093/nc/niaf064,Sound Frequency Predicts the Bodily Location of Auditory-Induced Tactile Sensations in Synesthetic and Ordinary Perception,40.45068321249303,12.34501928302738,15.748955947676741,False,False,True,True,2
10.1101/2022.11.20.517270,10.1073/pnas.2515183123,Systematic Approach Identifies Multiple Transcription Factor Perturbations That Rejuvenate Replicatively Aged Human Skin Fibroblasts,41.482991130580956,12.100090105437527,15.30481430085219,False,False,True,True,2
10.1101/2023.03.08.531735,10.1111/pbi.70527,A high soluble-fibre allele in wheat encodes a defective cell wall peroxidase responsible for dimerization of ferulate moieties on arabinoxylan,48.9361247174632,11.968441687230868,15.377686250385947,False,False,True,True,8
10.1101/2023.04.04.535507,10.7554/eLife.88132,Plant Arbovirus Mobilizes a Vector Salivary Protein to Initiate Plant Infection,52.0751804566174,9.596096750004936,13.088304358979418,False,False,True,True,26
10.1101/2023.04.08.532456,10.7554/eLife.94835.4,Neural coding of multiple motion speeds in visual cortical area MT,51.2467139014731,10.02497249323255,13.43203899568124,False,True,True,True,12
10.1101/2023.04.18.537072,10.7554/eLife.93003,The interplay between molecular assembly and phase separation,47.0528361574309,11.069397504468437,14.794896773063778,False,True,True,True,15
10.1101/2023.04.24.538074,10.1038/s41593-025-02161-4,Disrupting microglial TGF-β signaling triggers region-specific pathology in the spinal cord,38.39604824157115,12.618248339560925,15.647662100796573,False,False,True,True,7
10.1101/2023.05.22.541689,10.1038/s41477-025-02178-4,Rapid local and systemic jasmonate signalling drives initiation and establishment of plant systemic immunity,36.67579908675799,12.035826289711455,15.861536966870688,False,False,True,True,6
10.1101/2023.07.20.549893,10.7554/eLife.89573.3,Replication stress inducing ELF3 upregulation promotes BRCA1-deficient breast tumorigenesis in luminal progenitors,44.916313794976276,10.972262652480769,14.05740625080113,False,True,True,True,3
10.1101/2023.07.21.550102,10.1038/s41467-025-67858-3,Computational and neural mechanisms underlying the influence of action affordances on value-based choice,32.26907004473799,12.981981625679698,16.06692896138956,True,True,True,True,17
10.1101/2023.07.25.550495,10.1038/s43588-025-00915-5,Generative Neural Spike Prediction from Upstream Neural Activity via Behavioral Reinforcement,39.477772768718125,12.339041353780157,15.22922010712045,False,True,True,True,14
10.1101/2023.08.03.551566,10.1038/s41467-025-67096-7,VACmap: an accurate long-read aligner for unraveling complex structural variations,31.37341306384687,13.51854926456372,17.108223501241838,True,True,True,True,13
10.1101/2023.09.05.556329,10.1080/15476286.2026.2613892,RGG-motif protein Scd6 affects oxidative stress response by regulating Cytosolic caTalase T1 (Ctt1),49.595065917508975,10.254028591158985,13.022745576352206,False,False,True,True,5
10.1101/2023.09.13.557676,10.1371/journal.pcbi.1013565,"Complex relationship among vessel diameter, shear stress and blood pressure controlling vessel pruning during angiogenesis",49.82145207413896,10.3099780661024,13.043605413899133,False,True,True,True,5
10.1101/2023.09.27.556556,10.1038/s41557-025-02049-7,Engineered retrons generate genome-independent protein-binding DNA for cellular control,33.66105833798221,11.948689699741273,15.47110156086788,False,False,True,True,8
10.1101/2023.09.28.559903,10.1242/dev.205011,Bidirectional interaction between Protocadherin 8 and transcription factor Dbx1 regulates cerebral cortex development,46.33789473017714,10.341350776794851,13.348411173624553,False,False,True,True,3
10.1101/2023.10.03.560674,10.7554/eLife.92991,Predicting the effect of CRISPR-Cas9-based epigenome editing,43.26781258889025,11.243771790808243,14.640234989521836,False,True,True,True,8
10.1101/2023.10.13.562297,10.1371/journal.pcbi.1013122,TEPEAK : A novel method for identifying and characterizing polymorphic transposable elements in non-model species populations,35.70666554553455,12.382825738617761,15.743960617312343,False,True,True,True,15
10.1101/2023.10.29.564555,10.1158/0008-5472.CAN-25-1217,Co-regulator activity of Mediator of DNA Damage Checkpoint 1 (MDC1) is associated with DNA repair dysfunction and PARP inhibitor sensitivity in lobular carcinoma of the breast,38.42125644625324,11.799090188595208,14.554384325506858,False,False,True,True,10
10.1101/2023.11.01.565084,10.1007/s10722-025-02700-9,Exploring phenotypic and genetic variability in hemp (Cannabis sativa),45.51374625828777,10.66241112152009,14.358978847694571,False,False,False,True,6
10.1101/2023.11.14.566925,10.1038/s44319-025-00673-5,Liver sinusoidal endothelial cells constitute a major route for hemoglobin clearance,42.12180534706914,11.913168826824272,15.302256228144666,False,False,True,True,6
10.1101/2023.11.28.567094,10.1126/sciimmunol.ady2268,Pathogenic IgE-fated B cell memory retains functional plasticity,44.790512764270204,11.74468414125905,15.372871918605632,False,False,True,True,7
10.1101/2023.12.01.569683,10.1128/jvi.01999-25,N-terminal acetylation of the influenza ribonuclease PA-X promotes nuclear localization and host shutoff activity in a multifaceted manner,42.23253508858633,11.617945252627234,15.236661336307982,False,False,True,True,7
10.1101/2023.12.06.570345,10.7554/eLife.104808.3,Dilated cardiomyopathy-associated RNA Binding Motif Protein 20 regulates long pre-mRNAs in neurons,36.524627313909775,12.719038165346362,15.211144260592159,False,False,False,True,4
10.1101/2023.12.15.571916,10.1162/IMAG.a.1108,Single voxel autocorrelation reflects hippocampal function in temporal lobe epilepsy,26.023240218763164,13.70211135450365,15.867296070097053,False,True,True,True,5
10.1101/2023.12.22.572899,10.1016/j.stemcr.2025.102752,Atypical Cell Cycle Regulation over Neural Stem Cell Expansion,40.74497465058923,12.023199996085033,15.022459474335092,False,False,True,True,11
10.1101/2024.02.02.578618,10.1162/IMAG.a.1115,Distinct functional roles of distributed cortical representations for working memory storage,43.52374063187159,10.54192849574461,14.091836255710886,False,True,True,True,7
10.1101/2024.02.13.580203,10.7554/eLife.97106,Neuroestrogens facilitate male-typical behaviors by potentiating androgen receptor signaling in medaka,43.326130981664306,11.89150823064286,15.525878794926152,False,False,True,True,4
10.1101/2024.02.27.582302,10.7554/eLife.98047.3,Reconstructing Voice Identity from Noninvasive Auditory Cortex Recordings,45.89076783704968,10.872363148002119,14.09716868713376,False,True,True,True,20
10.1101/2024.03.04.582839,10.1038/s41551-025-01573-8,LDL-Binding IL-10 Reduces Vascular Inflammation in Atherosclerotic Mice,45.53897630147631,11.29857027724049,14.396004232174446,False,True,True,True,4
10.1101/2024.03.13.584141,10.7554/eLife.106464.3,Two brain systems for the perception of geometric shapes,38.77793744387253,12.423557378927793,15.619349656129785,False,False,True,True,17
10.1101/2024.03.22.585864,10.1038/s41467-025-66055-6,Temporal constraints on enhancer usage shape the regulation of limb gene transcription,48.642920673429614,10.243102586823792,13.475588931007103,False,False,True,True,19
10.1101/2024.03.24.586475,10.1101/gr.279914.124,Landscape of microRNA and target expression variation and covariation in single mouse embryonic stem cells,39.34998243574003,12.31233110953384,15.126911768635019,False,False,True,True,8
10.1101/2024.03.27.586865,10.1073/pnas.2503834122,ACSS2 upregulation enhances neuronal resilience to aging and tau-associated neurodegeneration,46.047690574201965,10.764560850300928,13.842711750395313,False,False,True,True,13
10.1101/2024.03.29.585638,10.1126/sciadv.ads2734,Shape dynamics and migration of branched cells on complex networks,57.069739393939386,9.213521635810999,12.453346596665746,True,True,False,True,11
10.1101/2024.03.29.587244,10.1186/s44477-025-00013-w,"TDP43 proteinopathy exhibits disease, tissue, and context-specific cryptic splicing signatures",29.19057033815048,15.20664528044843,17.844748582794065,False,True,True,True,6
10.1101/2024.04.02.587830,10.1186/s43897-025-00181-z,A drought stress-responsive metabolite malate modulates stomatal responses through G-protein-dependent pathway,46.68488456606215,10.671409620780427,13.91541658229923,False,False,True,True,6
10.1101/2024.04.03.588037,10.1108/REPS-08-2024-0045,Is ChatGPT detrimental to innovation? A field experiment among university students,43.397655019118275,11.163126628378969,13.718044870318332,True,False,False,True,11
10.1101/2024.04.18.590176,10.7554/eLife.103255.3,Dependence of Contextual Modulation in Macaque V1 on Interlaminar Signal Flow,45.198337094436965,10.558506225833728,14.017118073457475,True,True,True,True,7
10.1101/2024.04.30.591897,10.1038/s44318-025-00672-1,ESCRT recruitment to damaged lysosomes is dependent on the ATG8 E3-like ligases,46.34838872028797,11.008398246523722,13.92332458718143,False,False,True,True,6
10.1101/2024.05.12.593008,10.1016/j.bios.2026.118410,"Migration, proliferation, and elasticity of bladder cancer cells on lectin-coated surfaces",45.969718039277126,10.621267377775247,13.869706299814391,False,True,False,True,5
10.1101/2024.05.22.595241,10.1158/2159-8290.CD-24-0853,Genotype-to-phenotype mapping of somatic clonal mosaicism via single-cell co-capture of DNA mutations and mRNA transcripts,36.83764862655332,12.359168556064237,15.651240946636632,False,False,True,True,34
10.1101/2024.05.25.595878,10.1186/s10020-025-01417-w,Silencing of Hepatic AATF Ameliorates Metabolic Dysfunction Associated Steatohepatitis by Promoting Fatty Acid β-Oxidation in Experimental models,28.439100221723834,13.916388661603282,16.74995652159962,False,False,False,True,6
10.1101/2024.05.31.596825,10.1093/braincomms/fcag008,Integrating Data Across Oscillatory Power Bands Predicts the Epileptogenic Zone: the Frequency Range Explorer Epileptogenic Zone (FREEZ) Identification Algorithm,33.11877385317888,13.375049779132887,16.271902420900226,False,False,True,True,35
10.1101/2024.06.03.597118,10.7554/eLife.100851.3,Comparative neuroimaging of the carnivoran brain: Neocortical sulcal anatomy,37.23271724842999,12.113667299547249,14.97216299109099,False,False,True,True,21
10.1101/2024.06.06.597786,10.1126/science.adr9608,Mapping Somatosensory Afferent Circuitry to Bone Identifies Neurotrophic Signals Required for Fracture Healing,43.36549645625962,11.104919980386846,14.24618010956393,False,False,True,True,8
10.1101/2024.06.07.597917,10.1038/s41556-025-01853-0,p53 enables phospholipid headgroup scavenging,39.21659666473701,12.219542604462365,15.496646060541247,False,False,True,True,17
10.1101/2024.06.09.598134,10.1093/reprod/xaaf026,Age-associated increased stiffness of the ovarian microenvironment impairs follicle development and oocyte quality and rapidly alters follicle gene expression,45.096864712437196,10.79971421740063,14.664830370732403,False,False,True,True,8
10.1101/2024.06.14.599120,10.1038/s41467-025-68109-1,Rad51 determines pathway usage in post-replication repair,47.47215203233415,10.724528961071318,14.20620101139112,False,False,True,True,20
10.1101/2024.06.16.599248,10.1037/xge0001892,Spatial Perspective Taking is Distinct from Cognitive and Affective Perspective Taking,38.36826827950907,11.412402892475175,14.829506653759012,False,False,False,True,9
10.1101/2024.06.21.600110,10.1038/s41598-025-34926-z,EPITHELIAL REMODELING AND MICROBIAL DYSBIOSIS IN THE LOWER RESPIRATORY TRACT OF VITAMIN A-DEFICIENT MOUSE LUNGS,43.72632876526461,10.822209226594303,14.026257801899593,True,True,True,True,12
10.1101/2024.06.26.600785,10.7554/eLife.107039,CCDC32 stabilizes clathrin-coated pits and drives their invagination,39.337445384073305,11.416152219873151,14.756730091613813,False,False,True,True,5
10.1101/2024.07.01.601472,10.1186/s13059-025-03917-8,Unravelling the progression of the zebrafish primary body axis with reconstructed spatiotemporal transcriptomics,44.64560940879912,11.052978536894429,14.23051237682928,True,True,True,True,21
10.1101/2024.07.02.601807,10.1038/s41588-025-02478-7,Compressive Pangenomics Using Mutation-Annotated Networks,37.6685032455311,12.258847553380647,15.608687626759773,False,False,True,True,50
10.1101/2024.07.08.602551,10.1242/dev.204584,An avidity-driven mechanism of extracellular BMP regulation by Twisted gastrulation,46.9229700359989,10.77846669622734,14.093233628689553,False,True,True,True,11
10.1101/2024.07.08.602611,10.1242/dev.205459,Endogenous FGFs drive ERK-dependent cell fate patterning in 2D human gastruloids,42.5511927082172,11.773550844903703,15.198554073794853,False,True,True,True,5
10.1101/2024.07.26.605262,10.1038/s42003-025-09425-6,Sensorimotor restriction affects sleep-related motor memory consolidation through altered slow oscillation-spindle coupling.,37.9212783911114,12.19186099713972,14.856631789235799,True,True,False,True,13
10.1101/2024.07.27.605449,10.1186/s13059-025-03926-7,Deep-learning prediction of gene expression from personal genomes,38.99615287829599,12.415487536325589,15.68839956525165,False,False,True,True,9
10.1101/2024.08.09.607358,10.1111/geb.70184,The Performance and Potential of Deep Learning for Predicting Species Distributions,43.08291356294902,11.302115266384742,13.994362188142185,False,True,True,True,16
10.1101/2024.08.20.608778,10.1126/sciadv.adw5022,Mechanical control of the insect extracellular matrix nanostructure,48.972612744986435,10.240166384947251,13.25319406760215,False,False,True,True,8
10.1101/2024.08.22.609101,10.1007/s12288-025-02279-2,Investigating the influence of iron parameters in regulating platelet recovery in Apheresis Platelet Donors,46.26134837588265,10.203730243387316,12.601611901961546,False,False,False,False,0
10.1101/2024.08.22.609246,10.1093/gbe/evag007,Correlated evolutionary rates reveal novel components and cross-compartment connectivity in plant proteostasis systems,38.48443322554084,11.435178924151348,14.564852823437898,False,False,True,True,8
10.1101/2024.08.26.609718,10.1038/s42003-025-09479-6,VISTA Uncovers Missing Gene Expression and Spatial-induced Information for Spatial Transcriptomic Data Analysis,43.20752956648664,11.612681855978991,14.746252008712304,False,True,True,True,14
10.1101/2024.08.27.609375,10.1038/s41418-025-01645-x,The PIDDosome controls cardiomyocyte polyploidization during postnatal heart development,41.782919729160625,12.301549258425467,16.003204916613342,False,False,True,True,6
10.1101/2024.09.02.610777,10.1126/science.ads9530,Deep contrastive learning enables genome-wide virtual screening,41.034972567283404,11.028892877760189,14.125129971536516,False,False,True,True,12
10.1101/2024.09.03.610982,10.1038/s42003-025-09496-5,Cholinergic signaling differentially regulates song premotor circuits to stabilize songs in songbirds,40.14943564545075,12.175776790217771,15.43363229400801,False,False,False,True,4
10.1101/2024.09.03.611057,10.3390/cells15020118,BRD4 phosphorylation regulates the structure of chromatin nanodomains,35.4625424575425,12.423366633366633,15.80899100899101,False,True,True,True,1
10.1101/2024.09.08.611926,10.21105/joss.08759,genomesizeR: An R package for genome size prediction,36.182514934289145,12.042851150984305,14.060126446674147,False,True,False,True,15
10.1101/2024.09.09.612073,10.7554/eLife.103512,Barcode activity in a recurrent network model of the hippocampus enables efficient memory binding,49.17140255017338,10.11967816766995,13.167254780163312,True,True,True,True,27
10.1101/2024.09.10.612337,10.1038/s41467-025-68280-5,EPOP Restricts PRC2.1 Targeting to Chromatin by Directly Modulating Enzyme Complex Dimerization,51.79459175358542,9.27652777777778,12.274008465128583,False,False,True,True,12
10.1101/2024.09.11.612086,10.1126/sciadv.aea1429,Identification of Proteins Influencing CRISPR-Associated Transposases for Enhanced Genome Editing,34.30680607718318,12.617934910133496,15.93927907789356,True,False,True,True,13
10.1101/2024.09.12.612702,10.1007/s10237-025-02022-w,Capturing sclera anisotropy using direct collagen fiber models. Linking microstructure to macroscopic mechanical properties.,32.576313505177524,13.037155391009456,15.956936192535416,True,True,True,True,19
10.1101/2024.09.13.612835,10.1093/nar/gkaf1488,RoCi - A Single Step Multi-Copy Integration System Based on Rolling-Circle Replication,48.31534939799593,10.956471729754664,14.37141447383015,False,False,True,True,15
10.1101/2024.09.13.612990,10.1126/sciadv.adx3969,Molecular computation at equilibrium via programmable entropy,32.196195973965246,12.821332636573537,15.990963650259538,True,False,True,True,17
10.1101/2024.09.19.613896,10.1093/bioadv/vbag008,CanDrivR-CS: A Cancer-Specific Machine Learning Framework for Distinguishing Recurrent and Rare Variants,38.55429437655346,11.629932787903893,14.23384009942005,False,False,True,True,6
10.1101/2024.09.25.615081,10.1091/mbc.E24-10-0445,The Senescence-Associated-Secretory Phenotype constituting HIF-1α activation is independent of micronuclei induction and associated cGAS-mediated interferon response,30.779838439506108,12.991384104314623,16.879622693519973,False,False,False,True,6
10.1101/2024.09.26.614923,10.1038/s41467-025-68174-6,Diverse defense systems synergistically drive the microbe-virus arms race in deep sea cold seeps,38.11876263251892,12.14750785489316,15.157135385367264,False,False,False,True,15
10.1101/2024.09.27.615364,10.1007/s00422-025-01029-x,Encoding of movement primitives and body posture through distributed proprioception in walking and climbing insects,48.96595571955393,10.990415054826194,14.067320259122546,False,True,True,True,19
10.1101/2024.10.03.616513,10.1172/jci.insight.187716,ENDOTHELIAL PROX1 INDUCES BLOOD-BRAIN BARRIER DISRUPTION IN THE CENTRAL NERVOUS SYSTEM,38.554226051496926,12.653154714448423,16.442669215750083,False,False,True,True,9
10.1101/2024.10.05.616794,10.1371/journal.pone.0339848,"Automated, Stress-Free, and Precise Measurement of Songbird Weight in Neuroscience Experiments",48.38980438055461,11.212366227963674,14.011353503958041,False,True,True,True,16
10.1101/2024.10.06.616844,10.1038/s42003-025-09409-6,An ancient lysozyme in placozoans,45.54487984994145,11.461889080475075,14.69696554111632,False,False,False,True,5
10.1101/2024.10.06.616889,10.7554/eLife.103725.3,Decoding the biogenesis of HIV-induced CPSF6 puncta and their fusion with the nuclear speckle,50.4350313552346,10.707156177505055,13.766100426550924,True,False,True,True,19
