biorxiv_doi,published_doi,title,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,num_contractions,contractions_per_1000,uses_contractions,num_exclamation,exclamation_per_1000,uses_exclamation,num_signposting,signposting_per_1000,uses_signposting,num_vague_verbs,vague_verbs_per_1000,uses_vague_verbs,num_allows_to,allows_to_per_1000,uses_allows_to,num_aim_to,aim_to_per_1000,uses_aim_to,num_we,we_per_1000,uses_we,num_hedging,hedging_per_1000,uses_hedging,num_to_that_end,to_that_end_per_1000,uses_to_that_end,num_chatgpt_words,chatgpt_words_per_1000,uses_chatgpt_words,num_absolute_words,absolute_words_per_1000,uses_absolute_words,num_comparatives,comparatives_per_1000,uses_comparatives,num_passive,passive_per_1000,uses_passive
10.1101/004473,,The Invariance Hypothesis Implies Domain-Specific Regions in Visual Cortex,36.883716572839546,12.743760299054351,15.653347331039647,0,0.0,False,0,0.0,False,1,0.08816787162757891,True,17,1.4988538176688415,True,0,0.0,False,0,0.0,False,86,7.582436959971787,True,81,7.141597601833892,True,0,0.0,False,0,0.0,False,13,1.146182331158526,True,18,1.5870216892964204,True,151,13.313348615764417,True
10.1101/005660,,Practopoiesis: Or how life fosters a mind,32.81537062384129,13.824894508954738,16.63076506840221,0,0.0,False,1,0.0632231143706139,True,0,0.0,False,44,2.7818170323070115,True,0,0.0,False,0,0.0,False,15,0.9483467155592085,True,218,13.78263893279383,True,0,0.0,False,0,0.0,False,20,1.2644622874122777,True,73,4.615287349054815,True,214,13.529746475311374,True
10.1101/006346,,"NBLAST: Rapid, sensitive comparison of neuronal structure and construction of neuron family databases",37.42708774431145,12.909772052966371,15.773101211022732,0,0.0,False,0,0.0,False,0,0.0,False,28,3.028991778450887,True,0,0.0,False,0,0.0,False,116,12.548680225010818,True,49,5.300735612289053,True,0,0.0,False,2,0.2163565556036348,True,2,0.2163565556036348,True,9,0.9736045002163566,True,100,10.817827780181739,True
10.1101/006353,,The natverse: a versatile computational toolbox to combine and analyse neuroanatomical data,40.36075573062362,11.923343876955926,14.382642561309519,0,0.0,False,1,0.10686044026501389,True,1,0.10686044026501389,True,53,5.663603334045736,True,0,0.0,False,2,0.21372088053002777,True,76,8.121393460141057,True,105,11.220346227826457,True,0,0.0,False,1,0.10686044026501389,True,2,0.21372088053002777,True,12,1.2823252831801668,True,100,10.686044026501389,True
10.1101/009936,,Fixed versus mixed RSA: Explaining visual representations by fixed and mixed feature sets from shallow and deep computational models,34.432052553121025,13.260571790260759,15.843166437934787,0,0.0,False,0,0.0,False,0,0.0,False,30,4.136789851075565,True,0,0.0,False,0,0.0,False,70,9.652509652509652,True,37,5.1020408163265305,True,0,0.0,False,0,0.0,False,0,0.0,False,34,4.688361831218974,True,58,7.997793712079426,True
10.1101/011320,,"Wide field-of-view, multi-region two-photon imaging of neuronal activity in vivo",30.8322697010494,13.253829555723588,16.599423368927088,0,0.0,False,0,0.0,False,0,0.0,False,4,2.3543260741612713,True,0,0.0,False,0,0.0,False,21,12.360211889346674,True,17,10.005885815185403,True,0,0.0,False,0,0.0,False,0,0.0,False,1,0.5885815185403178,True,15,8.828722778104767,True
10.1101/011957,,A diffusive homeostatic signal maintains neural heterogeneity and responsiveness in cortical networks,23.143628872564705,15.8588926860428,18.613148798750842,0,0.0,False,0,0.0,False,0,0.0,False,23,3.1442241968557756,True,0,0.0,False,0,0.0,False,63,8.61244019138756,True,41,5.604921394395078,True,0,0.0,False,0,0.0,False,1,0.13670539986329458,True,17,2.3239917976760083,True,94,12.850307587149691,True
10.1101/012443,,The neural correlates of dreaming,25.2939636189474,16.148757690603933,19.39621309929919,0,0.0,False,0,0.0,False,0,0.0,False,1,0.2699055330634278,True,0,0.0,False,0,0.0,False,27,7.28744939271255,True,27,7.28744939271255,True,0,0.0,False,0,0.0,False,1,0.2699055330634278,True,3,0.8097165991902834,True,50,13.495276653171391,True
10.1101/012583,,Pre-synaptic inhibition of afferent feedback in the macaque spinal cord does not modulate with cycles of peripheral oscillations around 10 Hz,35.4979284640186,13.267137741703433,17.025519201934493,0,0.0,False,0,0.0,False,0,0.0,False,10,1.4718869590815427,True,0,0.0,False,0,0.0,False,14,2.0606417427141595,True,28,4.121283485428319,True,0,0.0,False,0,0.0,False,0,0.0,False,10,1.4718869590815427,True,94,13.8357374153665,True
10.1101/013730,,Simultaneous Monitoring of Behavior & Peripheral Clocks in Drosophila Reveals Unstructured Sleep in an Alzheimer’s Model,29.091278984861987,14.781367943009801,17.831729296527158,0,0.0,False,0,0.0,False,0,0.0,False,14,2.4866785079928952,True,0,0.0,False,0,0.0,False,41,7.282415630550622,True,21,3.730017761989343,True,0,0.0,False,0,0.0,False,1,0.17761989342806395,True,10,1.7761989342806395,True,86,15.2753108348135,True
10.1101/014563,,"Predictability of Autism, Schizophrenic and Obsessive Spectra Diagnosis: Toward a Damage Network Approach",31.42589296711418,14.322943008463394,17.416078686678514,0,0.0,False,0,0.0,False,1,0.141643059490085,True,2,0.28328611898017,True,0,0.0,False,1,0.141643059490085,True,35,4.957507082152975,True,26,3.68271954674221,True,0,0.0,False,0,0.0,False,3,0.42492917847025496,True,34,4.81586402266289,True,88,12.464589235127479,True
10.1101/015594,,The brain of the beholder: honouring individual representational idiosyncrasies,12.797256827254472,16.2143174673318,18.616024177140854,0,0.0,False,0,0.0,False,0,0.0,False,9,2.509060496236409,True,0,0.0,False,0,0.0,False,9,2.509060496236409,True,16,4.460551993309172,True,0,0.0,False,0,0.0,False,14,3.9029829941455256,True,12,3.3454139949818793,True,25,6.9696124895455815,True
10.1101/015677,,Restoration of Sp4 in forebrain GABAergic neurons rescues hypersensitivity to ketamine in Sp4 hypomorphic mice,31.690529226733076,13.930985985624222,16.424033516711507,0,0.0,False,0,0.0,False,0,0.0,False,2,0.721240533717995,True,0,0.0,False,0,0.0,False,9,3.2455824017309776,True,15,5.409304002884962,True,0,0.0,False,0,0.0,False,0,0.0,False,6,2.163721601153985,True,49,17.670393076090875,True
10.1101/016436,,Intersubject information mapping: revealing canonical representations of complex natural stimuli,21.021064475204838,15.334182825688888,18.90345900711206,2,0.4924895345973898,True,0,0.0,False,0,0.0,False,6,1.4774686037921694,True,0,0.0,False,0,0.0,False,47,11.57350406303866,True,26,6.402363949766067,True,0,0.0,False,0,0.0,False,3,0.7387343018960847,True,13,3.2011819748830335,True,49,12.06599359763605,True
10.1101/017210,,Visual cues determine hippocampal directional selectivity,25.473247799321115,14.440757436280997,18.161498187676198,0,0.0,False,0,0.0,False,0,0.0,False,11,3.0211480362537766,True,0,0.0,False,0,0.0,False,23,6.316945893985169,True,23,6.316945893985169,True,0,0.0,False,0,0.0,False,0,0.0,False,3,0.8239494644328481,True,28,7.690195001373249,True
10.1101/017327,,Non-dichotomous inference using bootstrapped evidence,40.87914746023094,11.720573619439353,15.245603052678527,0,0.0,False,0,0.0,False,0,0.0,False,18,2.526315789473684,True,0,0.0,False,0,0.0,False,14,1.9649122807017545,True,55,7.719298245614035,True,0,0.0,False,0,0.0,False,2,0.2807017543859649,True,26,3.6491228070175437,True,61,8.56140350877193,True
10.1101/017350,,Improving effect size estimation and statistical power with multi-echo fMRI and its impact on understanding the neural systems supporting mentalizing,26.79068736141909,14.982526017109702,17.731459341321678,0,0.0,False,0,0.0,False,0,0.0,False,20,2.83245999150262,True,0,0.0,False,0,0.0,False,51,7.222772978331681,True,41,5.806542982580371,True,0,0.0,False,0,0.0,False,5,0.708114997875655,True,21,2.974082991077751,True,77,10.904970967285086,True
10.1101/017400,,A mathematical framework for statistical decision confidence,18.71305568593138,15.848586452408416,19.875928562905216,0,0.0,False,0,0.0,False,0,0.0,False,21,6.4496314496314495,True,0,0.0,False,0,0.0,False,41,12.592137592137592,True,28,8.5995085995086,True,0,0.0,False,0,0.0,False,2,0.6142506142506142,True,4,1.2285012285012284,True,41,12.592137592137592,True
10.1101/017418,,Crossvalidation in Brain Imaging Analysis,30.204032835820897,13.681319402985078,17.105353233830847,0,0.0,False,0,0.0,False,0,0.0,False,12,3.1906407870247273,True,0,0.0,False,1,0.26588673225206066,True,9,2.3929805902685457,True,43,11.433129486838606,True,0,0.0,False,0,0.0,False,2,0.5317734645041213,True,8,2.1270938580164853,True,53,14.091996809359213,True
10.1101/017558,,Echo state networks with multiple readout modules,39.72834459970744,13.044776774453918,16.125551127478182,0,0.0,False,0,0.0,False,0,0.0,False,12,4.3057050592034445,True,0,0.0,False,0,0.0,False,22,7.8937926085396475,True,18,6.458557588805167,True,0,0.0,False,0,0.0,False,0,0.0,False,3,1.0764262648008611,True,40,14.352350197344816,True
10.1101/017863,,Development of social behaviour in young zebrafish,39.967502248875576,12.383190404797602,15.666366816591704,0,0.0,False,0,0.0,False,0,0.0,False,8,1.8344416418252694,True,0,0.0,False,0,0.0,False,24,5.503324925475808,True,21,4.815409309791332,True,0,0.0,False,0,0.0,False,0,0.0,False,8,1.8344416418252694,True,48,11.006649850951616,True
10.1101/017897,,Fast ventral stream neural activity enables rapid visual categorization,23.27181556694137,14.974004976252282,18.354841927475942,0,0.0,False,0,0.0,False,0,0.0,False,7,1.8617021276595747,True,0,0.0,False,1,0.26595744680851063,True,34,9.042553191489361,True,13,3.457446808510638,True,0,0.0,False,0,0.0,False,0,0.0,False,6,1.5957446808510638,True,39,10.372340425531915,True
10.1101/019547,,Attention selectively gates afferent signal transmission to area V4,26.43747154641332,15.96579409000731,19.00845776339146,0,0.0,False,0,0.0,False,0,0.0,False,15,3.1752751905165115,True,2,0.42337002540220153,True,1,0.21168501270110077,True,41,8.679085520745131,True,23,4.868755292125318,True,0,0.0,False,0,0.0,False,2,0.42337002540220153,True,4,0.8467400508044031,True,49,10.372565622353937,True
10.1101/019646,,Consistent inter-protocol differences in resting-state functional connectomes between normal aging and mild cognitive impairment,30.894408028249046,13.504036515409805,16.292764564223287,0,0.0,False,0,0.0,False,0,0.0,False,1,0.21404109589041095,True,0,0.0,False,1,0.21404109589041095,True,34,7.277397260273972,True,39,8.347602739726028,True,0,0.0,False,0,0.0,False,1,0.21404109589041095,True,2,0.4280821917808219,True,51,10.91609589041096,True
10.1101/020354,,Response to Comment on “Two types of asynchronous activity in networks of excitatory and inhibitory spiking neurons”,33.63743421052635,13.962014411027571,16.668170426065164,0,0.0,False,0,0.0,False,0,0.0,False,5,2.738225629791895,True,0,0.0,False,0,0.0,False,0,0.0,False,3,1.6429353778751368,True,0,0.0,False,0,0.0,False,3,1.6429353778751368,True,3,1.6429353778751368,True,17,9.309967141292441,True
10.1101/020586,,Estimating information flow through a memory system: the utility of meta-analytic methods for genetics,23.17919188861987,16.193833064299167,19.263159097549476,0,0.0,False,0,0.0,False,0,0.0,False,5,0.8490405841399219,True,0,0.0,False,5,0.8490405841399219,True,46,7.811173374087281,True,23,3.9055866870436406,True,0,0.0,False,0,0.0,False,0,0.0,False,8,1.358464934623875,True,72,12.226184411614875,True
10.1101/021311,,Mechanical morphogenesis and the development of neocortical organisation,26.875662665985715,15.038232039496084,18.433537623425263,0,0.0,False,0,0.0,False,0,0.0,False,6,1.0186757215619693,True,0,0.0,False,0,0.0,False,18,3.0560271646859083,True,63,10.69609507640068,True,0,0.0,False,0,0.0,False,2,0.33955857385398985,True,17,2.8862478777589136,True,55,9.33786078098472,True
10.1101/021428,,"Simple Plans or Sophisticated Habits? State, Transition and Learning Interactions in the Two-step Task",32.394867937446975,15.140080261042055,18.131936727036557,0,0.0,False,0,0.0,False,0,0.0,False,8,0.982680260410269,True,0,0.0,False,2,0.24567006510256725,True,39,4.7905662695000615,True,51,6.264586660115465,True,0,0.0,False,0,0.0,False,2,0.24567006510256725,True,18,2.211030585923105,True,82,10.072472669205258,True
10.1101/022046,,A New Method to Detect Event-Related Potentials Based on Pearson’s Correlation,38.21201300962426,14.343766278151246,17.35422869210556,0,0.0,False,0,0.0,False,0,0.0,False,5,1.244090569793481,True,0,0.0,False,0,0.0,False,25,6.220452848967405,True,25,6.220452848967405,True,0,0.0,False,0,0.0,False,1,0.2488181139586962,True,10,2.488181139586962,True,46,11.445633242100024,True
10.1101/022103,,On the dimensionality of olfactory space,32.37407825422511,14.809113942826325,17.684615246314277,0,0.0,False,0,0.0,False,1,0.15149219815179518,True,5,0.7574609907589759,True,0,0.0,False,0,0.0,False,56,8.48356309650053,True,33,4.999242539009241,True,0,0.0,False,0,0.0,False,4,0.6059687926071807,True,20,3.0298439630359035,True,62,9.3925162854113,True
10.1101/023200,,Dendrites enable a robust mechanism for neuronal stimulus selectivity,31.67201067548163,13.534868615709758,16.715842523098598,0,0.0,False,0,0.0,False,0,0.0,False,10,2.38038562247084,True,0,0.0,False,0,0.0,False,52,12.37800523684837,True,60,14.282313734825042,True,0,0.0,False,0,0.0,False,3,0.714115686741252,True,22,5.236848369435849,True,29,6.903118305165437,True
10.1101/024794,,The human experience with intravenous levodopa,25.59114414314294,14.308376305845744,17.33367414981107,0,0.0,False,0,0.0,False,0,0.0,False,1,0.4870920603994155,True,0,0.0,False,0,0.0,False,5,2.4354603019970775,True,3,1.4612761811982464,True,0,0.0,False,0,0.0,False,1,0.4870920603994155,True,5,2.4354603019970775,True,38,18.50949829517779,True
10.1101/025817,,Change Blindness in 3D Virtual Reality,46.25150801054255,10.853749555792469,13.481905946458188,0,0.0,False,0,0.0,False,0,0.0,False,5,1.042535446205171,True,0,0.0,False,0,0.0,False,8,1.6680567139282736,True,19,3.96163469557965,True,0,0.0,False,0,0.0,False,0,0.0,False,19,3.96163469557965,True,65,13.552960800667222,True
10.1101/026617,,Quantitative neuroanatomy for connectomics in Drosophila,33.05892925226411,14.018525573029013,16.943821364132187,0,0.0,False,0,0.0,False,0,0.0,False,28,1.8899763752953087,True,0,0.0,False,0,0.0,False,178,12.01484981437732,True,80,5.3999325008437395,True,0,0.0,False,0,0.0,False,6,0.4049949375632805,True,45,3.0374620317246035,True,138,9.314883563955451,True
10.1101/026823,,The neurotranscriptome of the Aedes aegypti mosquito,31.18224494382119,13.85652092342037,17.70975700570798,0,0.0,False,0,0.0,False,0,0.0,False,11,1.5813686026451983,True,0,0.0,False,0,0.0,False,76,10.925819436457735,True,19,2.7314548591144336,True,0,0.0,False,0,0.0,False,0,0.0,False,2,0.2875215641173088,True,92,13.225991949396205,True
10.1101/027102,,Medial prefrontal cortex population activity is plastic irrespective of learning,35.94547836106881,14.181980402461573,16.831436694611664,0,0.0,False,0,0.0,False,0,0.0,False,4,0.5272176090681429,True,0,0.0,False,0,0.0,False,103,13.57585343350468,True,33,4.349545274812179,True,0,0.0,False,0,0.0,False,8,1.0544352181362857,True,20,2.6360880453407143,True,57,7.5128509292210355,True
10.1101/027847,,Neural and non-neural contributions to sexual dimorphism of mid-day sleep in Drosophila: A pilot study,44.458329548894966,12.123451407811082,14.626945201332124,0,0.0,False,0,0.0,False,0,0.0,False,2,0.6802721088435374,True,0,0.0,False,0,0.0,False,13,4.421768707482993,True,10,3.401360544217687,True,0,0.0,False,0,0.0,False,0,0.0,False,3,1.0204081632653061,True,54,18.367346938775512,True
10.1101/027896,,TRPA1 tunes mosquito thermotaxis to host temperatures,29.08900868440503,13.823156873614192,18.19239865825232,0,0.0,False,0,0.0,False,0,0.0,False,6,1.30605137135394,True,0,0.0,False,0,0.0,False,35,7.618632999564649,True,22,4.78885502829778,True,0,0.0,False,0,0.0,False,1,0.21767522855898996,True,3,0.65302568567697,True,92,20.026121027427077,True
10.1101/028910,,Projection-specific visual feature encoding by layer 5 cortical subnetworks,37.0504285714286,12.094774062816619,15.270435663627154,0,0.0,False,0,0.0,False,0,0.0,False,3,0.7577671129072998,True,0,0.0,False,0,0.0,False,37,9.345794392523365,True,11,2.778479413993433,True,0,0.0,False,0,0.0,False,0,0.0,False,18,4.546602677443799,True,38,9.598383430159132,True
10.1101/029330,,On the distribution and function of synaptic clusters in dendrites,37.502298225644495,12.268818518341384,15.424683342101487,0,0.0,False,0,0.0,False,0,0.0,False,7,2.331002331002331,True,0,0.0,False,0,0.0,False,41,13.653013653013653,True,27,8.991008991008991,True,0,0.0,False,0,0.0,False,3,0.999000999000999,True,7,2.331002331002331,True,17,5.661005661005661,True
10.1101/029603,,Adjudicating between face-coding models with individual-face fMRI responses,17.054163517274162,16.666383978819002,19.742058294518785,0,0.0,False,0,0.0,False,0,0.0,False,17,1.766968090635069,True,0,0.0,False,0,0.0,False,92,9.562415549319198,True,54,5.612722170252572,True,0,0.0,False,0,0.0,False,0,0.0,False,14,1.455150192287704,True,147,15.27907701902089,True
10.1101/029751,,An Extension of the Fri Framework for Calcium Transient Detection,37.24720274795368,13.586210003189116,17.478101413840758,0,0.0,False,0,0.0,False,1,0.4861448711716091,True,5,2.430724355858046,True,0,0.0,False,0,0.0,False,30,14.584346135148275,True,10,4.861448711716092,True,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,31,15.070491006319884,True
10.1101/029876,,Deep neural networks: a new framework for modelling biological vision and brain information processing,29.347255241587504,14.019356263787468,16.664185876104575,0,0.0,False,0,0.0,False,0,0.0,False,27,2.860169491525424,True,0,0.0,False,0,0.0,False,38,4.025423728813559,True,113,11.970338983050848,True,0,0.0,False,0,0.0,False,2,0.211864406779661,True,35,3.707627118644068,True,89,9.427966101694915,True
10.1101/031146,,Faster processing of moving compared to flashed bars in awake macaque V1 provides a neural correlate of the flash lag illusion,42.33918726461363,11.962823413488845,15.285130042080807,0,0.0,False,0,0.0,False,0,0.0,False,14,1.07559926244622,True,0,0.0,False,0,0.0,False,192,14.751075599262446,True,38,2.9194837123540256,True,0,0.0,False,0,0.0,False,2,0.15365703749231713,True,7,0.53779963122311,True,139,10.679164105716042,True
10.1101/031765,,Cortical state and natural movie responses in cat visual cortex,42.360743481867274,11.500412223525153,14.878259033679635,0,0.0,False,0,0.0,False,0,0.0,False,4,0.5568703884170959,True,0,0.0,False,0,0.0,False,4,0.5568703884170959,True,45,6.264791869692329,True,0,0.0,False,0,0.0,False,5,0.6960879855213699,True,35,4.872615898649589,True,92,12.808018933593205,True
10.1101/032292,,Automatic segmentation of Drosophila neural compartments using GAL4 expression data reveals novel visual pathways,36.12850573106371,13.432737763212945,16.313749825686795,0,0.0,False,0,0.0,False,0,0.0,False,9,1.5042620758816647,True,0,0.0,False,0,0.0,False,88,14.708340297509611,True,42,7.019889687447768,True,0,0.0,False,0,0.0,False,0,0.0,False,13,2.172822998495738,True,61,10.195554069864617,True
